Time (h) 2024-05-15T09.20.45.392;WT-measurement D1 OTR (mmol/L/h);WT-measurement D1 CTR (mmol/L/h);WT-measurement D1 RQ;WT-measurement D1 integral OTR (mmol/L);WT-measurement D1 integral CTR (mmol/L);WT-measurement D1 O2 cal. factor (Pa/V);;Time (h) 2024-05-15T09.20.46.428;MT-measurement D2 OTR (mmol/L/h);MT-measurement D2 CTR (mmol/L/h);MT-measurement D2 RQ;MT-measurement D2 integral OTR (mmol/L);MT-measurement D2 integral CTR (mmol/L);MT-measurement D2 O2 cal. factor (Pa/V);;Time (h) 2024-05-15T09.20.45.492;WT-sample D3 OTR (mmol/L/h);WT-sample D3 CTR (mmol/L/h);WT-sample D3 RQ;WT-sample D3 integral OTR (mmol/L);WT-sample D3 integral CTR (mmol/L);WT-sample D3 O2 cal. factor (Pa/V);;Time (h) 2024-05-15T09.20.44.901;MT-sample D4 OTR (mmol/L/h);MT-sample D4 CTR (mmol/L/h);MT-sample D4 RQ;MT-sample D4 integral OTR (mmol/L);MT-sample D4 integral CTR (mmol/L);MT-sample D4 O2 cal. factor (Pa/V);;
0.33244;-0.508615;0.125628;-0.247000;-0.169538;0.041876;9824.139228;;0.33237;-0.639657;0.029924;-0.046782;-0.213219;0.009975;8907.083056;;0.33244;-0.184978;0.113074;-0.611282;-0.061659;0.037691;9101.322304;;0.33245;-31.539643;0.042101;-0.001335;-10.513214;0.014034;95386.749983;;
0.66719;0.165347;0.159909;0.967110;-0.114423;0.095179;9822.607445;;0.66579;0.894493;0.031645;0.035378;0.084946;0.020523;8899.542064;;0.66720;0.389577;0.152098;0.390418;0.068199;0.088391;9121.181331;;0.66719;-11.975442;0.040711;-0.003400;-14.505028;0.027604;88932.139949;;
1.00055;0.292535;0.174966;0.598102;-0.016911;0.153501;9826.787532;;1.00051;1.095048;0.031934;0.029163;0.449961;0.031168;8912.036085;;1.00057;0.401243;0.191862;0.478168;0.201947;0.152344;9118.037952;;1.00056;-3.731535;0.044641;-0.011963;-15.748873;0.042485;90577.084605;;
1.33393;-0.390573;0.190847;-0.488632;-0.147102;0.217116;9852.987477;;1.33385;-0.299663;0.037772;-0.126047;0.350074;0.043758;8944.923873;;1.33394;1.427624;0.196356;0.137540;0.677822;0.217796;9218.463230;;1.33394;-1.037513;0.046414;-0.044735;-16.094711;0.057956;89422.085683;;
1.66869;0.240361;0.216372;0.900196;-0.066982;0.289240;9845.490182;;1.66857;0.389197;0.032521;0.083558;0.479806;0.054599;8944.268982;;1.66871;0.593407;0.222341;0.374686;0.875624;0.291910;9156.231935;;1.66870;-2.881759;0.037496;-0.013011;-17.055298;0.070454;88902.792341;;
2.00207;0.296142;0.245121;0.827714;0.031732;0.370947;9848.297869;;2.00191;0.562743;0.052015;0.092432;0.667387;0.071937;8954.219056;;2.00208;-32.688032;-0.452233;0.013835;-10.020387;0.141166;9757.612652;;2.00208;-3.799410;1.885038;-0.496140;-18.321768;0.698800;88425.174999;;
2.33545;0.030632;0.290958;9.498410;0.041943;0.467933;9844.690995;;2.33524;-0.028999;0.040108;-1.383087;0.657721;0.085307;8964.261096;;2.33546;0.619516;0.297364;0.479994;-9.813881;0.240287;9346.494400;;2.33685;-0.242488;0.039408;-0.162515;-18.402597;0.711936;88448.600306;;
2.67021;0.210814;0.334937;1.588780;0.112214;0.579579;9852.754585;;2.66997;0.331109;0.056318;0.170090;0.768090;0.104079;8971.772924;;2.67022;0.502338;0.317337;0.631721;-9.646435;0.346066;9416.462586;;2.67022;0.254639;0.059324;0.232972;-18.317717;0.731711;87764.394907;;
3.00359;-0.806640;0.383724;-0.475707;-0.156666;0.707487;9876.208280;;3.00330;-0.706229;0.064592;-0.091460;0.532681;0.125610;9002.030759;;3.00357;0.414516;0.367689;0.887033;-9.508263;0.468629;9358.301461;;3.00360;-1.669250;0.065830;-0.039437;-18.874134;0.753654;88144.487885;;
3.33698;0.100932;0.442103;4.380220;-0.123022;0.854855;9862.334585;;3.33805;0.012771;0.086383;6.763934;0.536938;0.154404;8989.341865;;3.33696;0.398799;0.410855;1.030232;-9.375330;0.605581;9305.148336;;3.33836;-0.568980;0.073565;-0.129293;-19.063794;0.778176;87323.024943;;
3.67180;-0.972287;0.465236;-0.478496;-0.447117;1.009933;9910.169639;;3.67146;-0.821311;0.074478;-0.090682;0.263167;0.179230;9039.375319;;3.67178;0.750178;0.437619;0.583354;-9.125271;0.751454;9384.954959;;3.67179;-2.303188;0.066062;-0.028683;-19.831523;0.800197;88140.636831;;
4.00516;0.264901;0.540580;2.040683;-0.358817;1.190127;9874.361740;;4.00481;0.330568;0.102535;0.310177;0.373357;0.213408;9006.017433;;4.00516;0.725014;0.500006;0.689651;-8.883599;0.918123;9271.965820;;4.00516;0.064162;0.077718;1.211277;-19.810136;0.826103;87183.250389;;
4.33992;1.365403;0.668940;0.489922;0.096317;1.413107;9867.190950;;4.33953;1.766648;0.100123;0.056674;0.962239;0.246783;8999.502382;;4.33992;7.297799;0.051660;0.007079;-6.451000;0.935343;8931.885011;;4.33991;4.419046;0.633057;0.143257;-18.337120;1.037122;86445.355425;;
4.67330;0.045618;0.698970;15.322278;0.111523;1.646097;9860.235559;;4.67288;0.109388;0.100687;0.920454;0.998702;0.280345;8994.383524;;4.67328;0.401634;0.088867;0.221263;-6.317122;0.964965;9107.725503;;4.67327;-1.676253;0.645481;-0.385073;-18.895871;1.252282;86445.394484;;
5.00806;1.077174;0.868516;0.806291;0.470581;1.935602;9850.599736;;5.00760;1.048754;0.137609;0.131212;1.348287;0.326214;8987.175163;;5.00805;-34.016600;-0.127254;0.003741;-17.655989;0.922547;9677.479554;;5.00803;-3.545283;-1.509850;0.425876;-20.077632;0.748998;86689.327201;;
5.34150;-0.051081;0.903528;-17.688085;0.453554;2.236778;9853.557446;;5.34100;-0.126012;0.137421;-1.090544;1.306283;0.372022;8992.755168;;5.34147;0.619011;0.774054;1.250469;-17.449652;1.180565;9300.131111;;5.34145;0.323306;0.129168;0.399522;-19.969864;0.792054;85389.546287;;
